best_stat: {'epoch': 0, 'coco_eval_bbox': 0.0}
best_stat: {'epoch': 157, 'coco_eval_bbox': 0.25293871142759794}
best_stat: {'epoch': 157, 'coco_eval_bbox': 0.25293871142759794}
best_stat: {'epoch': 171, 'coco_eval_bbox': 0.25383395138985165}
best_stat: {'epoch': 172, 'coco_eval_bbox': 0.25774567679483856}
best_stat: {'epoch': 172, 'coco_eval_bbox': 0.25774567679483856}
best_stat: {'epoch': 172, 'coco_eval_bbox': 0.25774567679483856}
best_stat: {'epoch': 172, 'coco_eval_bbox': 0.25774567679483856}
best_stat: {'epoch': 172, 'coco_eval_bbox': 0.25774567679483856}
best_stat: {'epoch': 177, 'coco_eval_bbox': 0.264134978939626}
best_stat: {'epoch': 177, 'coco_eval_bbox': 0.264134978939626}
best_stat: {'epoch': 177, 'coco_eval_bbox': 0.264134978939626}
best_stat: {'epoch': 177, 'coco_eval_bbox': 0.264134978939626}
best_stat: {'epoch': 177, 'coco_eval_bbox': 0.264134978939626}
best_stat: {'epoch': 177, 'coco_eval_bbox': 0.264134978939626}
best_stat: {'epoch': 177, 'coco_eval_bbox': 0.264134978939626}
best_stat: {'epoch': 177, 'coco_eval_bbox': 0.264134978939626}
best_stat: {'epoch': 177, 'coco_eval_bbox': 0.264134978939626}
best_stat: {'epoch': 177, 'coco_eval_bbox': 0.264134978939626}
best_stat: {'epoch': 177, 'coco_eval_bbox': 0.264134978939626}
best_stat: {'epoch': 177, 'coco_eval_bbox': 0.264134978939626}
best_stat: {'epoch': 177, 'coco_eval_bbox': 0.264134978939626}
best_stat: {'epoch': 177, 'coco_eval_bbox': 0.264134978939626}
best_stat: {'epoch': 191, 'coco_eval_bbox': 0.26662217618165923}
best_stat: {'epoch': 191, 'coco_eval_bbox': 0.26662217618165923}
best_stat: {'epoch': 191, 'coco_eval_bbox': 0.26662217618165923}
best_stat: {'epoch': 191, 'coco_eval_bbox': 0.26662217618165923}
best_stat: {'epoch': 191, 'coco_eval_bbox': 0.26662217618165923}
best_stat: {'epoch': 191, 'coco_eval_bbox': 0.26662217618165923}
best_stat: {'epoch': 191, 'coco_eval_bbox': 0.26662217618165923}
best_stat: {'epoch': 191, 'coco_eval_bbox': 0.26662217618165923}
best_stat: {'epoch': 191, 'coco_eval_bbox': 0.26662217618165923}
