best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 182, 'coco_eval_bbox': 0.30493360216491694}
best_stat: {'epoch': 182, 'coco_eval_bbox': 0.30493360216491694}
best_stat: {'epoch': 182, 'coco_eval_bbox': 0.30493360216491694}
best_stat: {'epoch': 182, 'coco_eval_bbox': 0.30493360216491694}
best_stat: {'epoch': 182, 'coco_eval_bbox': 0.30493360216491694}
best_stat: {'epoch': 182, 'coco_eval_bbox': 0.30493360216491694}
best_stat: {'epoch': 182, 'coco_eval_bbox': 0.30493360216491694}
best_stat: {'epoch': 190, 'coco_eval_bbox': 0.29507934884436315}
best_stat: {'epoch': 191, 'coco_eval_bbox': 0.3007281809256572}
best_stat: {'epoch': 191, 'coco_eval_bbox': 0.3007281809256572}
best_stat: {'epoch': 191, 'coco_eval_bbox': 0.3007281809256572}
best_stat: {'epoch': 194, 'coco_eval_bbox': 0.301707541373301}
best_stat: {'epoch': 194, 'coco_eval_bbox': 0.301707541373301}
best_stat: {'epoch': 194, 'coco_eval_bbox': 0.301707541373301}
best_stat: {'epoch': 197, 'coco_eval_bbox': 0.3017137208523169}
best_stat: {'epoch': 197, 'coco_eval_bbox': 0.3017137208523169}
best_stat: {'epoch': 199, 'coco_eval_bbox': 0.3023739438577287}
